input,time,algorithm,language
20,0.041832999999314,fibonacci,nodejs
25,0.45191700000032103,fibonacci,nodejs
30,5.152374999999665,fibonacci,nodejs
35,56.590667000000394,fibonacci,nodejs
40,632.1249160000007,fibonacci,nodejs
45,6881.396583000002,fibonacci,nodejs
1,4.1e-05,fibonacci,zig
5,8.300000000000001e-05,fibonacci,zig
10,0.00020800000000000001,fibonacci,zig
15,0.001333,fibonacci,zig
20,0.013833,fibonacci,zig
25,0.15845800000000002,fibonacci,zig
30,1.7540419999999999,fibonacci,zig
35,18.244791,fibonacci,zig
40,204.058083,fibonacci,zig
45,2247.5183749999997,fibonacci,zig
46,3648.605708,fibonacci,zig
47,5808.515583,fibonacci,zig
1,0.0,fibonacci,zig
5,0.0,fibonacci,zig
10,0.000125,fibonacci,zig
15,0.001041,fibonacci,zig
20,0.01225,fibonacci,zig
25,0.150833,fibonacci,zig
30,1.4995,fibonacci,zig
35,17.814042,fibonacci,zig
40,199.84300000000002,fibonacci,zig
45,2265.0590840000004,fibonacci,zig
46,3676.148417,fibonacci,zig
47,5913.010125000001,fibonacci,zig
1,4.2000000000000004e-05,fibonacci,zig
5,0.0,fibonacci,zig
10,0.000167,fibonacci,zig
15,0.001208,fibonacci,zig
20,0.01525,fibonacci,zig
25,0.16875,fibonacci,zig
30,1.6539169999999999,fibonacci,zig
35,18.318666999999998,fibonacci,zig
40,201.984333,fibonacci,zig
45,2210.215375,fibonacci,zig
46,3623.3650000000002,fibonacci,zig
47,5961.278,fibonacci,zig
1,0.0,fibonacci,python
5,0.0009536743164060001,fibonacci,python
10,0.0040531158447260004,fibonacci,python
15,0.040054321289062,fibonacci,python
20,0.49781799316406206,fibonacci,python
25,5.4819583892822275,fibonacci,python
30,61.003923416137695,fibonacci,python
35,671.9417572021484,fibonacci,python
40,7446.974039077759,fibonacci,python
1,0.001192092895507,fibonacci,python
5,0.000715255737304,fibonacci,python
10,0.0040531158447260004,fibonacci,python
15,0.044107437133789,fibonacci,python
20,0.47898292541503906,fibonacci,python
25,5.355119705200195,fibonacci,python
30,59.51499938964844,fibonacci,python
35,669.0940856933594,fibonacci,python
40,7459.955930709839,fibonacci,python
1,0.0,fibonacci,python
5,0.0009536743164060001,fibonacci,python
10,0.004291534423828,fibonacci,python
15,0.042915344238281,fibonacci,python
20,0.48279762268066406,fibonacci,python
25,5.405902862548828,fibonacci,python
30,60.26434898376465,fibonacci,python
35,670.2160835266113,fibonacci,python
40,7503.993272781372,fibonacci,python
1,0.010208,fibonacci,golang
5,8.3e-05,fibonacci,golang
10,0.00025,fibonacci,golang
15,0.001542,fibonacci,golang
20,0.019125,fibonacci,golang
25,0.17887499999999998,fibonacci,golang
30,1.9095419999999999,fibonacci,golang
35,35.951916,fibonacci,golang
40,236.309375,fibonacci,golang
45,2565.164625,fibonacci,golang
46,4077.233625,fibonacci,golang
47,6667.245207999999,fibonacci,golang
1,0.000125,fibonacci,golang
5,4.1e-05,fibonacci,golang
10,0.000166,fibonacci,golang
15,0.001583,fibonacci,golang
20,0.015458,fibonacci,golang
25,0.16595800000000002,fibonacci,golang
30,2.260667,fibonacci,golang
35,20.292917,fibonacci,golang
40,225.08795800000001,fibonacci,golang
45,2484.412042,fibonacci,golang
46,4077.1961670000005,fibonacci,golang
47,6628.873333,fibonacci,golang
1,0.000125,fibonacci,golang
5,4.1e-05,fibonacci,golang
10,0.000125,fibonacci,golang
15,0.001416999999999,fibonacci,golang
20,0.015417000000000002,fibonacci,golang
25,0.169125,fibonacci,golang
30,1.833458,fibonacci,golang
35,21.0895,fibonacci,golang
40,224.948792,fibonacci,golang
45,2508.230375,fibonacci,golang
46,4083.623375,fibonacci,golang
47,6571.221,fibonacci,golang
1,8.3e-05,fibonacci,rust
5,0.000167,fibonacci,rust
10,0.000792,fibonacci,rust
15,0.004167,fibonacci,rust
20,0.035084,fibonacci,rust
25,0.380416999999999,fibonacci,rust
30,3.842875,fibonacci,rust
35,28.217375,fibonacci,rust
40,179.363041,fibonacci,rust
45,1925.958,fibonacci,rust
46,3150.559292,fibonacci,rust
47,5054.894208000001,fibonacci,rust
1,4.1e-05,fibonacci,rust
5,4.1e-05,fibonacci,rust
10,8.3e-05,fibonacci,rust
15,0.001,fibonacci,rust
20,0.013125000000000001,fibonacci,rust
25,0.116834,fibonacci,rust
30,1.497167,fibonacci,rust
35,15.685542,fibonacci,rust
40,172.55062500000003,fibonacci,rust
45,1909.214041,fibonacci,rust
46,3080.0080420000004,fibonacci,rust
47,5073.5131249999995,fibonacci,rust
1,0.0,fibonacci,rust
5,0.0,fibonacci,rust
10,8.3e-05,fibonacci,rust
15,0.000917,fibonacci,rust
20,0.010166999999999001,fibonacci,rust
25,0.112999999999999,fibonacci,rust
30,1.26025,fibonacci,rust
35,15.112957999999999,fibonacci,rust
40,172.15187500000002,fibonacci,rust
45,1941.989333,fibonacci,rust
46,3120.433292,fibonacci,rust
47,5007.46125,fibonacci,rust
1,0.000709,fibonacci,java
5,0.0005830000000000001,fibonacci,java
10,0.0035,fibonacci,java
15,0.038291,fibonacci,java
20,0.414458,fibonacci,java
25,0.23625000000000002,fibonacci,java
30,1.829875,fibonacci,java
35,17.716041,fibonacci,java
40,201.829166,fibonacci,java
45,2299.969209,fibonacci,java
46,3565.830416,fibonacci,java
47,5765.741042,fibonacci,java
1,0.000167,fibonacci,java
5,8.400000000000001e-05,fibonacci,java
10,0.000167,fibonacci,java
15,0.001292,fibonacci,java
20,0.013167,fibonacci,java
25,0.145959,fibonacci,java
30,1.8745,fibonacci,java
35,18.907083,fibonacci,java
40,196.963042,fibonacci,java
45,2172.154792,fibonacci,java
46,3522.348542,fibonacci,java
47,5758.195208,fibonacci,java
1,0.000167,fibonacci,java
5,4.1e-05,fibonacci,java
10,0.000167,fibonacci,java
15,0.0012079999999999999,fibonacci,java
20,0.012707999999999999,fibonacci,java
25,0.13075,fibonacci,java
30,1.5385,fibonacci,java
35,17.999417,fibonacci,java
40,199.4745,fibonacci,java
45,2203.266125,fibonacci,java
46,3529.644709,fibonacci,java
47,5692.768083,fibonacci,java
1,0.00875,fibonacci,bun
5,0.0010829999999990001,fibonacci,bun
10,0.034417,fibonacci,bun
15,0.12458399999999901,fibonacci,bun
20,0.10400000000000001,fibonacci,bun
25,0.618666,fibonacci,bun
30,3.484,fibonacci,bun
35,36.802749999999996,fibonacci,bun
40,398.774625,fibonacci,bun
45,4438.805417,fibonacci,bun
1,0.000292000000627,fibonacci,bun
5,0.000167000000146,fibonacci,bun
10,0.000374999999621,fibonacci,bun
15,0.003040999999939,fibonacci,bun
20,0.026249999999890004,fibonacci,bun
25,0.28645800000049304,fibonacci,bun
30,3.192541000000346,fibonacci,bun
35,36.09291700000085,fibonacci,bun
40,396.0037080000002,fibonacci,bun
45,4434.1125839999995,fibonacci,bun
1,0.000249999999141,fibonacci,bun
5,0.00012500000048000002,fibonacci,bun
10,0.000374999999621,fibonacci,bun
15,0.003000000000611,fibonacci,bun
20,0.027750000001105002,fibonacci,bun
25,0.286250000001018,fibonacci,bun
30,3.3421660000003612,fibonacci,bun
35,35.749665999999706,fibonacci,bun
40,400.5152080000007,fibonacci,bun
45,4469.780875,fibonacci,bun
1,0.001416,fibonacci,cpp
5,0.00075,fibonacci,cpp
10,0.000667,fibonacci,cpp
15,0.00175,fibonacci,cpp
20,0.01225,fibonacci,cpp
25,0.130375,fibonacci,cpp
30,1.370084,fibonacci,cpp
35,14.681666,fibonacci,cpp
40,167.816334,fibonacci,cpp
45,1835.346083,fibonacci,cpp
46,2978.33475,fibonacci,cpp
47,4851.839625,fibonacci,cpp
1,0.001042,fibonacci,cpp
5,0.0009159999999999999,fibonacci,cpp
10,0.000708,fibonacci,cpp
15,0.001792,fibonacci,cpp
20,0.012166,fibonacci,cpp
25,0.130041,fibonacci,cpp
30,1.341,fibonacci,cpp
35,15.506583,fibonacci,cpp
40,169.424458,fibonacci,cpp
45,1868.36675,fibonacci,cpp
46,2991.431083,fibonacci,cpp
47,4809.851333,fibonacci,cpp
1,0.001792,fibonacci,cpp
5,0.000583,fibonacci,cpp
10,0.000792,fibonacci,cpp
15,0.001583,fibonacci,cpp
20,0.012541,fibonacci,cpp
25,0.124625,fibonacci,cpp
30,1.362416,fibonacci,cpp
35,15.033875,fibonacci,cpp
40,165.199959,fibonacci,cpp
45,1853.73725,fibonacci,cpp
46,2964.512708,fibonacci,cpp
47,4840.606375,fibonacci,cpp
1,4.2e-05,fibonacci,swift
5,8.3e-05,fibonacci,swift
10,0.000292,fibonacci,swift
15,0.001708,fibonacci,swift
20,0.018082999999999003,fibonacci,swift
25,0.19129199999999902,fibonacci,swift
30,2.015124999999999,fibonacci,swift
35,21.445042,fibonacci,swift
40,228.168584,fibonacci,swift
45,2570.132042,fibonacci,swift
46,4258.982125,fibonacci,swift
47,6910.307458,fibonacci,swift
1,0.0,fibonacci,swift
5,4.1e-05,fibonacci,swift
10,0.000166,fibonacci,swift
15,0.001624999999999,fibonacci,swift
20,0.018041,fibonacci,swift
25,0.205625,fibonacci,swift
30,2.18725,fibonacci,swift
35,20.688375,fibonacci,swift
40,235.260666,fibonacci,swift
45,2652.136125,fibonacci,swift
46,4254.539333,fibonacci,swift
47,6940.893958,fibonacci,swift
1,0.0,fibonacci,swift
5,0.0,fibonacci,swift
10,0.000125,fibonacci,swift
15,0.001374999999999,fibonacci,swift
20,0.014999999999999002,fibonacci,swift
25,0.16087499999999902,fibonacci,swift
30,1.814999999999999,fibonacci,swift
35,21.802875,fibonacci,swift
40,242.636791,fibonacci,swift
45,2628.858,fibonacci,swift
46,4203.972916,fibonacci,swift
47,7200.884375,fibonacci,swift
1,0.0,fibonacci,c
5,0.0,fibonacci,c
10,0.0,fibonacci,c
15,0.0,fibonacci,c
20,0.02,fibonacci,c
25,0.19,fibonacci,c
30,2.09,fibonacci,c
35,17.24,fibonacci,c
40,177.72,fibonacci,c
45,1888.71,fibonacci,c
46,3115.89,fibonacci,c
47,5000.77,fibonacci,c
1,0.0,fibonacci,c
5,0.0,fibonacci,c
10,0.0,fibonacci,c
15,0.0,fibonacci,c
20,0.01,fibonacci,c
25,0.14,fibonacci,c
30,1.4,fibonacci,c
35,14.74,fibonacci,c
40,169.19,fibonacci,c
45,1917.95,fibonacci,c
46,3129.54,fibonacci,c
47,5041.39,fibonacci,c
1,0.0,fibonacci,c
5,0.0,fibonacci,c
10,0.0,fibonacci,c
15,0.0,fibonacci,c
20,0.01,fibonacci,c
25,0.12,fibonacci,c
30,1.35,fibonacci,c
35,15.28,fibonacci,c
40,171.32,fibonacci,c
45,1949.69,fibonacci,c
46,3108.87,fibonacci,c
47,4995.9,fibonacci,c
1,0.0,fibonacci,v
5,0.0,fibonacci,v
10,0.0,fibonacci,v
15,0.0,fibonacci,v
20,0.0,fibonacci,v
25,0.0,fibonacci,v
30,2.0,fibonacci,v
35,20.0,fibonacci,v
40,166.0,fibonacci,v
45,1777.0,fibonacci,v
46,2911.0,fibonacci,v
47,4892.0,fibonacci,v
1,0.0,fibonacci,v
5,0.0,fibonacci,v
10,0.0,fibonacci,v
15,0.0,fibonacci,v
20,0.0,fibonacci,v
25,0.0,fibonacci,v
30,1.0,fibonacci,v
35,14.0,fibonacci,v
40,167.0,fibonacci,v
45,1851.0,fibonacci,v
46,3099.0,fibonacci,v
47,4804.0,fibonacci,v
1,0.0,fibonacci,v
5,0.0,fibonacci,v
10,0.0,fibonacci,v
15,0.0,fibonacci,v
20,0.0,fibonacci,v
25,0.0,fibonacci,v
30,1.0,fibonacci,v
35,14.0,fibonacci,v
40,164.0,fibonacci,v
45,1882.0,fibonacci,v
46,3064.0,fibonacci,v
47,5015.0,fibonacci,v
